id,ps_x,ps_y,ps_orient,ps_vp,ps_vc,ps_of1,ps_of2,ps_of3,ps_det,ps_col,sivic_x,sivic_y,sivic_orient,sivic_vp,sivic_vc,sivic_of1,sivic_of2,sivic_of3,sivic_det,sivic_col,sivic_conf,theory_of1,big_diff
35,25.325585,43.225367,130.848923,3.633278,10.190444,0.055198,4,0.033232,0,1,257.374415,308.524633,-49.151077,3.633278,36.685598,1.517537,4,0.601163,0,1,0.3,2.088365,0
36,25.344091,43.214216,130.808186,3.632873,10.162027,0.006393,4,0.043206,0,1,257.355909,308.535784,-49.191814,3.632873,36.583297,1.524359,4,0.550619,0,1,0.4,2.090708,0
37,25.498938,43.581798,93.542224,4.370916,21.120453,0.047339,0.047252,0.101643,0,1,257.201062,308.168202,-86.457776,4.370916,76.033631,0.852813,4,3.135262,0,1,0.15,6.14781,0
38,27.201566,44.42904,100.844679,4.986897,21.770987,1.486044,0.068464,0,0,0,255.498434,307.32096,-79.155321,4.986897,78.375553,0.768225,4,1.212355,0,0,0.35,4.611179,0
39,27.239495,44.457162,100.593733,4.87925,21.784272,1.410556,0.078231,0,0,1,255.460505,307.292838,-79.406267,4.87925,78.423379,0.710864,4,0.920856,0,0,0.45,4.620977,0
40,27.767813,42.95375,129.148815,3.699896,10.812929,0.232958,4,0.007431,0,1,254.932187,308.79625,-50.851185,3.699896,38.926544,0.950347,0.215267,0.318229,1,1,0.2,2.272995,0
41,28.05441,42.947449,110.621114,2.425047,10.044054,0.047278,0.104653,0.101015,1,1,254.64559,308.802551,-69.378886,2.425047,36.158594,1.411239,4,0.296817,0,1,0.45,5.094539,0
42,28.061294,41.574125,61.648836,4.536047,17.77359,0.068732,0.079929,0.053847,1,1,254.638706,310.175875,-118.351164,4.536047,63.984924,1.262757,0.21279,0.32334,1,0,0.2,3.991485,0
43,28.061444,41.564799,61.469624,4.56704,17.826352,0.015986,0.076797,0.115487,1,1,254.638556,310.185201,-118.530376,4.56704,64.174867,1.274345,0.212788,0.39074,1,0,0.2,3.955089,0
44,28.305678,48,153.202422,1.715681,20.246454,0.231007,0.048313,0,0,1,254.394322,303.75,-26.797578,1.715681,72.887234,0.880687,4,0.668843,0,1,0.45,0.068684,0
45,28.319772,48,153.273368,1.760652,20.24176,0.240661,0.048634,0,0,1,254.380228,303.75,-26.726632,1.760652,72.870336,1.083137,4,0.687303,0,1,0.45,0.118823,0
46,28.367666,48,153.172503,1.760561,20.241633,0.237744,0.049127,0,0,1,254.332334,303.75,-26.827497,1.760561,72.869879,0.854901,4,0.634137,0,1,0.45,0.124901,0
47,29.113047,43.000311,82.611091,4.231892,20.623973,0.305585,0.050771,0.417246,0,1,253.586953,308.749689,-97.388909,4.231892,74.246303,0.134163,0.234714,1.605892,1,1,0.2,6.031867,0
48,29.139419,43.012012,82.609974,4.234485,20.631805,0.323331,0.051205,0.267297,0,1,253.560581,308.737988,-97.390026,4.234485,74.274498,0.642658,0.03724,1.461513,1,1,0.15,6.018866,0
49,29.164223,43.00533,82.630823,4.235354,20.492649,0.362612,0.049904,0.599096,0,1,253.535777,308.74467,-97.369177,4.235354,73.773536,0.391708,0.133032,0.180922,1,1,0.4,6.019023,0
50,29.437268,44.866838,45.109757,3.701219,22.757443,0.097418,0.057953,0.133879,0,1,253.262732,306.883162,-134.890243,3.701219,81.926795,0.780933,0.18045,0.817579,1,1,0.25,1.303374,0
51,29.449357,44.883872,45.124607,3.694804,22.751521,0.092804,0.058102,0.115772,0,1,253.250643,306.866128,-134.875393,3.694804,81.905476,1.174196,0.093729,0.800902,1,1,0.1,1.292266,0
52,29.464295,47.963648,159.99532,1.843771,20.162942,0.021899,0.139287,0,0,1,253.235705,303.786352,-20.00468,1.843771,72.586591,1.174532,4,0.27878,0,1,0.25,0.417215,0
53,29.494774,44.814436,44.610638,3.740441,22.7744,0.130086,0.064145,0.005783,0,1,253.205226,306.935564,-135.389362,3.740441,81.98784,0.880824,0.084571,0.678468,1,1,0.1,1.277094,0
54,29.83017,43.720317,106.40821,4.77542,23.899347,0.349879,4,0.021488,0,1,252.86983,308.029683,-73.59179,4.77542,86.037649,0.713354,0.138236,1.47953,1,1,0.15,4.861359,0
55,30.237511,46.328566,40,2.77999,22.419964,0.20107,0.049467,0,0,1,252.462489,305.421434,-140,2.77999,80.71187,0.690894,0.116795,0.724188,1,1,0.15,0.548869,0
56,30.237525,46.328121,40,2.775062,22.419266,0.195587,0.049374,0,0,1,252.462475,305.421879,-140,2.775062,80.709358,0.698181,0.116795,0.727554,1,1,0.2,0.555396,0
57,30.252594,46.380431,40,2.72979,22.401306,0.219672,0.049187,0,0,1,252.447406,305.369569,-140,2.72979,80.644702,0.689812,0.268599,0.734227,1,1,0.1,0.554316,0
58,30.252608,46.379986,40,2.724862,22.400608,0.21303,0.049252,0,0,1,252.447392,305.370014,-140,2.724862,80.642189,0.688141,0.116795,0.737554,1,1,0.15,0.56086,0
59,30.329861,45.399662,40,3.425319,22.285623,0.062529,0.050748,0.010907,0,1,252.370139,306.350338,-140,3.425319,80.228243,0.547306,0.29028,0.489483,1,1,0.2,0.632572,0
60,30.386721,43.316864,55.628466,4.581567,23.848235,0.118907,0.084119,0.037081,0,1,252.313279,308.433136,-124.371534,4.581567,85.853646,0.80156,0.186779,0.214299,1,1,0.15,2.743874,0
61,30.414201,43.571149,100.488526,4.09123,23.352166,0.145456,0.074414,0.43278,0,1,252.285799,308.178851,-79.511474,4.09123,84.067798,0.9666,0.154307,2.980274,1,1,0.4,5.599502,0
62,30.447696,46.86629,41.633559,2.017666,21.401697,0.12619,0.076047,0,0,1,252.252304,304.88371,-138.366441,2.017666,77.046109,0.764069,0.253682,0.693717,1,1,0.15,0.842739,0
63,30.484546,48,153.57975,1,15.542595,0.034214,0.060865,0,0,1,252.215454,303.75,-26.42025,1,55.953342,1.002236,4,0.47627,0,1,0.15,0.294066,0
64,30.596173,48,149.943038,1,19.938204,0.064076,0.061083,0,0,1,252.103827,303.75,-30.056962,1,71.777534,1.215826,0.180436,0.121393,1,1,0.3,0.704479,0
65,30.602029,47.999938,149.98954,1,19.942399,0.064848,0.061074,0,0,1,252.097971,303.750062,-30.01046,1,71.792636,1.215519,0.180436,0.119715,1,1,0.2,0.70388,0
66,30.617619,47.208089,102.1177,1,17.801402,0.077815,0.075946,0,1,1,252.082381,304.541911,-77.8823,1,64.085047,0.743318,0.119405,1.300384,1,1,0.15,2.449752,0
67,30.93997,44.695973,134.928496,3.954732,16.289818,0.448223,4,0,0,1,251.76003,307.054027,-45.071504,3.954732,58.643345,0.51165,4,0.378039,0,1,0.5,0.769778,0
68,31.425322,46.699372,124.653416,1.24333,14.14311,0.086404,0.11649,0,0,1,251.274678,305.050628,-55.346584,1.24333,50.915196,0.687864,4,0.738393,0,1,0.35,1.834039,0
69,31.526375,46.086198,124.413085,1.297021,12.749035,0.205113,0.076856,0,1,1,251.173625,305.663802,-55.586915,1.297021,45.896526,1.047946,0.238218,0.233323,1,1,0.2,2.238369,0
70,31.706882,44.366344,121.806537,4.661891,23.081061,0.499803,0.101951,0,0,1,250.993118,307.383656,-58.193463,4.661891,83.09182,0.517196,4,0.995799,0,1,0.55,2.741901,0
71,31.751329,45.874186,88.827552,1.953741,18.655226,0.415967,0.053746,0,1,1,250.948671,305.875814,-91.172448,1.953741,67.158814,0.355058,0.171771,2.716597,1,1,0.25,4.049897,0
